Unnamed: 0,UserID,Name,Location,Total_Distance,Steps,Calories_Burned,Minutes,OverallActivity,Very_Active_Distance,Moderately_Active_Distance,Light_Active_Distance,Sedentary_Active_Distance,Very_Active_Minutes,Fairly_Active_Minutes,Lightly_Active_Minutes,Sedentary_Minutes,WeightedMinutes,NormalizedWeightedMinutes,RawVO2,VO2_Max_Estimate,VO2_Max_Refined
0,7423388,Danielle,QLD,8.020000458,10449,2536,385,337.7690005,2.029999971,0.479999989,5.519999981,0.0,26,10,349,587,447,0.4944690265486726,1.9913919301300707,23.205856209836085,24.552245568433367
1,7550634,Angel,NSW,5.820000172,8001,2902,181,249.4210002,2.279999971,0.899999976,2.640000105,0.0,30,16,135,1259,257,0.2842920353982301,1.2863046664441242,20.0,20.88853105305533
2,5304572,Joshua,NSW,0.109999999,152,2100,12,111.262,0.0,0.0,0.109999999,0.0,0,0,12,1303,12,0.01327433628318584,0.03821226214026207,20.0,20.01687998001055
3,3234489,Jeffrey,NSW,7.210000038,9543,2450,359,318.753,0.0,0.340000004,6.869999886,0.0,0,7,352,1077,366,0.40486725663716816,1.7085353188444594,20.0,21.05977400816236
4,8204212,Jill,QLD,7.860000134,10218,3013,283,310.2280001,0.340000004,0.730000019,6.789999962,0.0,6,19,258,1020,314,0.3473451327433628,1.6523113477511069,20.0,21.13473444570921
5,5472471,Erica,QLD,0.5,703,1993,30,115.853,0.059999999,0.200000003,0.239999995,0.0,2,13,15,1410,47,0.051991150442477874,0.16123143372568186,20.0,20.078069907548795
6,5523669,Patricia,SA,5.5,8204,2135,119,179.954,0.529999971,0.589999974,1.309999943,0.0,8,15,96,1234,150,0.16592920353982302,0.9553065578488543,20.0,20.91107471056942
7,8404852,Christopher,NSW,4.980000019,7412,1906,370,292.692,0.059999999,0.25,4.659999847,0.01,1,6,363,1070,378,0.41814159292035397,1.4430333123972063,20.0,20.82312113051445
8,5981505,Robert,VIC,1.99000001,2961,2095,194,206.701,0.0,0.0,1.99000001,0.0,0,0,194,840,194,0.21460176991150443,0.653496384282202,20.0,20.328826452705513
9,2766891,Anthony,NSW,5.829999924,7706,2712,251,274.6359999,0.0,0.0,5.820000172,0.0,0,0,251,1189,251,0.2776548672566372,1.272292362236143,20.0,20.855770565534858
10,5521373,Jeffery,NSW,9.199999809,13238,1650,289,249.4379998,3.690000057,2.099999905,3.410000086,0.0,43,52,194,687,427,0.4723451327433628,2.08460431041985,24.29206784967129,26.077672081848466
11,7019877,William,VIC,8.899999619,14070,1959,319,280.4199996,2.920000076,1.080000043,4.880000114,0.0,45,24,250,857,433,0.47898230088495575,2.064689394408721,24.05999767283019,25.93969542821885
12,4344769,Anthony,NSW,1.159999967,1675,2351,95,167.885,0.0,0.0,1.159999967,0.0,0,0,95,1167,95,0.10508849557522124,0.3491456020048603,20.0,20.186012937616262
13,1103355,James,NSW,2.269999981,3428,1692,190,185.298,0.0,0.0,2.269999981,0.0,0,0,190,1121,190,0.21017699115044247,0.6907255358810339,20.0,20.380687970237933
14,2262752,Debra,QLD,8.180000305,10232,2008,154,195.8120003,6.239999771,0.230000004,1.700000048,0.0,45,5,104,1286,249,0.2754424778761062,1.5010394908317717,20.0,21.136289180710182
15,6664789,Amy,VIC,8.350000381,12627,2182,334,297.0770004,2.50999999,0.239999995,5.590000153,0.0,38,8,288,621,418,0.46238938053097345,1.9649304068093563,22.897497872141297,24.502910047001947
16,7113790,Bridget,QLD,2.680000067,3365,1838,133,164.4450001,0.0,0.0,2.680000067,0.0,0,0,133,673,133,0.14712389380530974,0.6279267833557755,20.0,20.373691662733556
17,5721339,Lisa,WA,5.440000057,8237,1973,272,248.3270001,1.610000014,1.0,2.829999924,0.0,23,16,233,1116,334,0.3694690265486726,1.417713484976606,20.0,20.914739443071714
18,4275709,Adam,NSW,10.0,14112,1655,254,233.862,3.269999981,4.559999943,2.170000076,0.0,30,95,129,660,409,0.4524336283185841,2.1270487260958175,24.786676164681726,26.72892649942721
19,1084654,Linda,WA,7.099999905,10742,2046,271,255.6419999,2.099999905,2.130000114,2.869999886,0.0,35,41,195,659,382,0.4225663716814159,1.7321146609835758,20.18447657318187,21.38840587354623
20,6147581,Helen,QLD,7.289999962,10379,2473,321,301.819,2.609999895,0.340000004,4.329999924,0.0,36,8,277,1119,401,0.4435840707964602,1.7982568946760638,20.955237537531563,22.16290243884498
21,2954354,Matthew,VIC,3.230000019,4974,1446,151,156.004,0.0,0.0,3.230000019,0.0,0,0,151,1289,151,0.1670353982300885,0.7345232055264548,20.0,20.552375135345233
22,9242680,Eric,NSW,7.010000229,10611,2262,392,326.7210002,1.00999999,0.5,5.510000229,0.0,14,8,370,1048,428,0.47345132743362833,1.8217831686921713,21.229391170330175,22.48020362880139
23,3428388,Susan,TAS,6.829999924,10113,2344,361,314.6429999,2.0,0.620000005,4.199999809,0.0,28,13,320,964,430,0.4756637168141593,1.8024381125825835,21.003961618438304,22.183411707820387
24,9916786,Matthew,VIC,3.220000029,4496,2828,174,236.116,0.0,0.0,3.150000095,0.050000001,0,0,174,950,174,0.19247787610619468,0.7872602915451822,20.0,20.499292040312056
25,3663046,Christopher,NSW,7.119999886,9787,3328,386,376.3069999,0.819999993,0.270000011,6.010000229,0.02,11,6,369,1054,414,0.4579646017699115,1.8057430360917373,21.042474167664572,22.185996723420885
26,6499720,Colin,NSW,2.599999905,4193,1491,229,195.8429999,0.0,0.0,2.599999905,0.0,0,0,229,665,229,0.25331858407079644,0.811559174995148,20.0,20.465643132791026
27,7640913,Melanie,WA,1.769999981,2436,2430,125,188.206,0.0,0.0,1.75999999,0.01,0,0,125,1315,125,0.13827433628318583,0.49471766957935365,20.0,20.27052389016908
28,4416664,Cassandra,QLD,4.210000038,6001,2069,249,238.161,0.0,0.0,4.210000038,0.0,0,0,249,1191,249,0.2754424778761062,1.076853212989227,20.0,20.666426052916517
29,4385659,Lindsay,WA,8.069999695,12058,1638,344,274.0279997,0.0,4.21999979,3.849999905,0.0,0,92,252,724,436,0.4823008849557522,1.972857824195943,22.98987672795823,24.529130641646677
30,4385357,Jessica,QLD,7.090000153,10100,2177,203,227.5400002,3.150000095,0.550000012,3.390000105,0.0,41,11,151,1237,296,0.3274336283185841,1.5236484092060434,20.0,21.121630250701017
31,1068148,Teresa,ACT,1.389999986,2072,1974,137,170.662,0.0,0.0,1.389999986,0.0,0,0,137,841,137,0.1515486725663717,0.4589691195991025,20.0,20.230100780143815
32,2825665,Nicholas,VIC,0.039999999,62,1995,2,100.852,0.0,0.0,0.039999999,0.0,0,0,2,1438,2,0.0022123893805309734,0.009407208566245863,20.0,20.006885255004306
33,3745683,Andrea,VIC,3.539999962,4468,2799,158,226.958,0.0,0.0,3.539999962,0.0,0,0,158,851,158,0.1747787610619469,0.7865855373179061,20.0,20.49618257031011
34,5056518,Maria,WA,8.409999847,11135,2606,480,389.8449998,0.0,0.0,8.409999847,0.0,0,0,480,425,480,0.5309734513274337,2.113169809652026,24.624943994097947,26.147466836899138
35,5997895,Michelle,WA,7.210000038,9919,3123,275,310.779,0.800000012,1.720000029,4.690000057,0.0,11,41,223,1165,338,0.37389380530973454,1.6418813448270708,20.0,21.101529748188455
36,7397986,Barbara,VIC,3.029999971,4514,2211,229,232.594,0.0,0.0,3.029999971,0.0,0,0,229,809,229,0.25331858407079644,0.8761023355683252,20.0,20.501290985313307
37,2870928,Janet,QLD,5.639999866,7550,3004,209,267.8899999,2.5,0.469999999,2.670000076,0.0,45,21,143,1153,320,0.35398230088495575,1.4129614749021016,20.0,20.83844637552403
38,5155299,Brandon,NSW,4.110000134,5273,2647,194,238.7330001,0.0,1.039999962,3.069999933,0.0,0,27,167,1246,221,0.24446902654867256,1.002381031281964,20.0,20.58557983286599
39,7249859,Jeremy,NSW,4.440000057,6711,2346,389,322.9510001,0.0,0.0,4.440000057,0.0,0,7,382,648,396,0.43805309734513276,1.3946167133594147,20.0,20.745273327965794
40,3305413,Keith,NSW,10.18000031,13236,3306,278,327.7160003,4.5,0.319999993,5.349999905,0.0,58,5,215,749,399,0.4413716814159292,2.1197084359975973,24.701139152112507,26.516538123862755
41,4910197,Christopher,NSW,6.650000095,8869,3841,335,375.0690001,2.559999943,0.75,3.349999905,0.0,104,37,194,639,580,0.6415929203539823,2.0655732815141925,24.07029768297132,25.255669126655334
42,6558019,Jesse,NSW,0.0,4,1348,1,67.904,0.0,0.0,0.0,0.0,0,0,1,1439,1,0.0011061946902654867,0.0,20.0,20.000444210000275
43,6414709,Craig,NSW,4.269999981,6466,1931,239,226.786,0.330000013,0.819999993,3.109999895,0.01,5,18,216,1201,267,0.29535398230088494,1.1230144695475002,20.0,20.71806546544879
44,1271836,Joshua,NSW,2.230000019,2752,1240,68,100.982,0.0,0.0,2.230000019,0.0,0,0,68,241,68,0.0752212389380531,0.4095648474430661,20.0,20.305616480191013
45,4584702,Cynthia,QLD,4.559999943,5843,2683,190,239.5529999,0.140000001,1.190000057,3.230000019,0.0,2,22,166,1250,216,0.23893805309734514,1.04381871438695,20.0,20.64887975790555
